#{"t_start": 1701214375.3774838, "env_id": "None"}
r,l,t
-5098.44,100,44.886595
-4293.61,100,45.11708
-156.85,15,45.157975
-6604.1,100,45.38704
-5596.42,100,45.605777
-2200.43,44,45.704189
-4803.31,100,45.959754
-4764.78,94,46.218939
-5105.94,100,46.485086
-804.7,24,46.543416
181.88,6,46.555073
-5796.42,100,46.811677
-5501.23,100,47.05867
-5696.76,100,47.32116
-4889.71,81,47.514891
-3701.37,64,47.653863
-1999.01,43,47.758455
-6595.29,100,48.016556
-366.97,17,48.060532
-1125.39,29,48.135406
-5194.42,100,48.376303
-4686.19,100,48.645528
-5100.3,100,48.904899
-6701.51,100,49.153509
-5486.51,100,49.399628
-3817.13,66,49.562366
-5894.91,100,49.806588
-5901.81,100,50.054067
-6802.08,100,50.25859
-4999.97,100,50.548683
505.99,1,50.549676
-5496.49,100,50.876194
-1034.83,30,50.992403
269.58,9,51.014841
-4706.8,100,51.40523
271.73,8,51.437047
-6200.19,100,51.799472
-4197.65,100,52.130483
-5303.58,100,52.401671
-4999.31,100,52.728505
-5199.76,100,53.095792
-5147.5,91,53.448798
-5800.48,100,53.753242
-4392.86,100,54.055181
-3176.38,79,54.268003
-2320.73,47,54.387382
-5097.79,100,54.665706
-5403.36,100,54.884368
-5399.72,100,55.110643
-3417.99,67,55.258677
-2074.06,38,55.354456
-6894.15,100,55.601156
-3905.52,100,55.863367
-5593.34,100,56.130877
-5600.09,100,56.396953
-5902.57,100,56.726681
-266.97,17,56.774718
-1456.38,36,56.933697
-3322.07,68,57.154253
-5586.44,100,57.459538
-1447.35,33,57.553018
-5399.06,100,57.782974
-4803.57,100,58.071883
-5700.32,100,58.31287
-5600.18,100,58.552037
-265.85,16,58.588397
-4903.05,100,58.832622
-4024.4,68,58.974598
-5297.25,100,59.199122
-6508.42,100,59.423378
-4796.9,100,59.732678
-5684.12,100,59.999508
-4096.22,100,60.221715
-5897.73,100,60.431044
-4227.72,69,60.573553
-5103.85,100,60.799095
-4711.93,85,60.98471
-5801.35,100,61.202719
-1645.55,33,61.286855
-4792.73,100,61.513495
-4286.03,81,61.692004
-6099.44,100,61.947861
-264.95,17,61.994279
-5690.67,100,62.232252
-5993.1,100,62.453557
-5989.78,100,62.668644
-5603.53,100,62.889447
-5296.42,100,63.134677
292.95,4,63.149327
-2498.72,43,63.256063
-6099.35,100,63.49929
-4503.85,100,63.712553
-5005.09,100,63.942238
-1506.73,24,64.011273
-5496.01,100,64.262549
-5896.48,100,64.528692
-925.98,28,64.617623
-5204.18,100,64.915432
-5803.74,100,65.187093
-5799.54,100,65.498893
-1964.04,37,65.621381
-907.3,24,65.688875
-6104.31,100,65.940354
-5999.64,100,66.219936
